,Created At,Text
56,09-03-2021 23:58,"b'RT @BTSPressData: What led @BTS_twt to the music\xc2\xa0industry leaderboard?\xc2\xa0\n\n\xe2\x80\x9cOf course it\xe2\x80\x99s ARMY,\xe2\x80\x9d Jungkook said.\xc2\xa0\xc2\xa0\n\nV also included\xc2\xa0the other\xe2\x80\xa6'"
57,09-03-2021 23:58,b'RT @seoknatural: A lot of people seem to think that BigHit could never do wrong and know what\xe2\x80\x99s best for BTS. They think BigHit and BTS are\xe2\x80\xa6'
58,09-03-2021 23:58,"b'RT @ETCanada: As the first #KPop group to *ever* earn a #GRAMMYs nomination, @bts_bighit are ""honoured"" and ""nervous"" \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4 Plus, they reveal\xe2\x80\xa6'"
59,09-03-2021 23:58,b'RT @mrkate: Decorating a @bts_bighit inspired room for an adult fan! #BTS #BTSARMY what elements should we try to work in? Any stan secrets?'
60,09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
61,09-03-2021 23:58,"b'RT @chocolate1r7: ""Everyone, aren\'t we one entity\xef\xbc\x9fwhat if out of the 7 of us, 6 go out and leave 1 behind, can you imagine how upset that p\xe2\x80\xa6'"
62,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
63,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
64,09-03-2021 23:58,b'@TXT_Social50 @TXT_members @TXT_bighit Tomorrow by Together \n@TXT_members @TXT_bighit\n#\xed\x83\x9c\xed\x98\x84 #TAEHYUN'
65,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
66,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
67,09-03-2021 23:58,"b'RT @ETCanada: As the first #KPop group to *ever* earn a #GRAMMYs nomination, @bts_bighit are ""honoured"" and ""nervous"" \xf0\x9f\x8e\xb6\xf0\x9f\x8e\xa4 Plus, they reveal\xe2\x80\xa6'"
68,09-03-2021 23:58,b'@JINAR_ @BigHitEnt @bts_bighit TREAT JIN FAIRLY \nJIN DESERVES BETTER \n@BigHitEnt @bts_bighit'
69,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
70,09-03-2021 23:58,"b""RT @GraphicsJin: PlEASE TREAT JIN FAIRLY \n@BigHitEnt @bts_bighit \n\naren't they one entity? then why does 1 of them always gets the short en\xe2\x80\xa6"""
71,09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
72,09-03-2021 23:58,b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'
73,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
74,09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
75,09-03-2021 23:58,b'RT @IFPI_org: #10 @BTS_bighit \xe2\x80\x93 Dynamite\n\nThe all-conquering first English-language single from South Korea\xe2\x80\x99s @BTS_twt Dynamite was release\xe2\x80\xa6'
76,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
77,09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
78,09-03-2021 23:58,b'@bts_bighit Jin! I love you\xf0\x9f\x92\x95\n#\xec\xa7\x84 #\xec\x84\x9d\xec\xa7\x84 #\xea\xb9\x80\xec\x84\x9d\xec\xa7\x84 #\xeb\xb0\xa9\xed\x83\x84\xec\x86\x8c\xeb\x85\x84\xeb\x8b\xa8\xec\xa7\x84 \n#JIN #SEOKJIN #KIMSEOKJIN\n#BTSJIN @BTS_twt'
79,09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
80,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
81,09-03-2021 23:58,"b""RT @mytinygyu: txt's sets are so beautiful\n -a thread \n@TXT_members @TXT_bighit https://t.co/q5nYoiLZ3S"""
82,09-03-2021 23:58,"b'RT @chocolate1r7: ""Everyone, aren\'t we one entity\xef\xbc\x9fwhat if out of the 7 of us, 6 go out and leave 1 behind, can you imagine how upset that p\xe2\x80\xa6'"
83,09-03-2021 23:58,b'RT @OJIMMazi: A message from the MOROCCAN AND EGYPTIAN ARMY to our SUGA \xf0\x9f\x92\x9c\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\n\n#OurGrammySinger\n#29YearsWithSuga\n#\xd8\xb9\xd9\x8a\xd8\xaf_\xd9\x85\xd9\x8a\xd9\x84\xd8\xa7\xd8\xaf_\xd8\xb3\xd8\xb9\xd9\x8a\xd8\xaf_\xd8\xb4\xd9\x88\xd9\x82\xd8\xa7\n#\xec\x8a\x88\xea\xb0\x80\xeb\x82\xb4\xea\xb7\xb8\xeb\xa6\xbc\xec\x9e\x90\xe2\x80\xa6'
84,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
85,09-03-2021 23:58,"b""RT @GraphicsJin: PlEASE TREAT JIN FAIRLY \n@BigHitEnt @bts_bighit \n\naren't they one entity? then why does 1 of them always gets the short en\xe2\x80\xa6"""
86,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
87,09-03-2021 23:58,"b""RT @beatlesstory: Happy Birthday Suga! \xf0\x9f\x8e\x89\n\nSuga's South Korean boy band @bts_bighit became the fastest group since\xc2\xa0@thebeatles to earn four\xe2\x80\xa6"""
88,09-03-2021 23:58,b'RT @mrkate: Decorating a @bts_bighit inspired room for an adult fan! #BTS #BTSARMY what elements should we try to work in? Any stan secrets?'
89,09-03-2021 23:58,"b'Nobody give a crap about no metaverse, bighit give us pgngg. Wasted my damn time!'"
90,09-03-2021 23:58,b'RT @mrkate: Decorating a @bts_bighit inspired room for an adult fan! #BTS #BTSARMY what elements should we try to work in? Any stan secrets?'
91,09-03-2021 23:58,b'@euijoo_bighit who are you'
92,09-03-2021 23:58,b'RT @mollajoon: how do you except bighit artists not to be chaotic when their own ceo is like this https://t.co/1oNV5PybJr'
93,09-03-2021 23:58,b'RT @TXTintl_twt: WEVERSE | 210308\n\nSHINE X TOGETHER SURPRISE EVENT\xf0\x9f\x8e\x87\xe2\x9c\xa8\xf0\x9f\x8e\x89 From. MOA\n\nCaption trans:\nAlways from the same place (we) will shine\xe2\x80\xa6'
94,09-03-2021 23:58,b'@KimSeokjin4D @BigHitEnt @bts_bighit TREAT JIN FAIRLY\n\n@BigHitEnt'
95,09-03-2021 23:58,"b""RT @taeppanii: \xf0\x9f\xa7\x8bbeomgyu's birthday layout!! this is how you make boba tea, right..? \n#TOMORROW_X_TOGETHER #TXT #TXT_BEOMGYU @TXT_members @T\xe2\x80\xa6"""
96,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
97,09-03-2021 23:58,"b""RT @thetaeprint: [VIDEO] Q. What are the factors that have helped you reach these goals you have set in last 7 years? \n\n\xf0\x9f\x90\xaf: Wouldn't it be A\xe2\x80\xa6"""
98,09-03-2021 23:58,"b""RT @GraphicsJin: PlEASE TREAT JIN FAIRLY \n@BigHitEnt @bts_bighit \n\naren't they one entity? then why does 1 of them always gets the short en\xe2\x80\xa6"""
99,09-03-2021 23:58,"b'RT @Walmart: @bts_bighit Playing \xe2\x80\x9c28\xe2\x80\x9d on repeat all day. Happy birthday, Suga! \xf0\x9f\x8e\x88'"
100,09-03-2021 23:59,"b'RT @Jeff__Benjamin: What a cool surprise!! I caught my name mentioned in the ""newspaper"" in @SB19Official\'s new ""What?"" music video, wow\n\nT\xe2\x80\xa6'"
101,09-03-2021 23:59,b'RT @ActualAero: 3 years ago today Super Smash Bros. Ultimate was revealed for the first time! This is probably still the most exciting reve\xe2\x80\xa6'
102,09-03-2021 23:59,"b""RT @niallstreams: \xe2\x80\x9cYou're not on your own\xe2\x80\x9d \xf0\x9f\x92\x99\n#NiallHoran \n\n https://t.co/xbNoF3TZd2"""
103,09-03-2021 23:59,b'THEY ARE SOULMATES YOUR HONOR.\nhttps://t.co/qKzfueNpMZ'
104,09-03-2021 23:59,b'RT @minarihourly: if mina was your girlfriend :\xe2\x80\x99)\n\n#MINA #\xeb\xaf\xb8\xeb\x82\x98 \xe2\x80\x94 @JYPETWICE https://t.co/ihi5VG2E5z'
105,09-03-2021 23:59,"b'RT @DrexelMBB: Here are your starting \xf0\x9f\x96\x90\xef\xb8\x8f for the Dragons!\n\n\xf0\x9f\x8f\x86 | CAA Finals\n\xf0\x9f\x86\x9a | Elon\n\xe2\x8f\xb0 | 7 p.m.\n\xf0\x9f\x93\x8d | Harrisonburg, Va.\n\xf0\x9f\x8f\x9f\xef\xb8\x8f | Atlantic Union Ban\xe2\x80\xa6'"
106,09-03-2021 23:59,"b""RT @Janelle_Clouds: \xf0\x9f\x90\xae\xe2\x9c\xa8700+ followers ART SHARE!!\xe2\x9c\xa8\xf0\x9f\x90\xae\n\n   Rules:\n\xf0\x9f\x92\x97Introduce yourself &amp; share your work! -sfw only\n\xf0\x9f\x92\x97Don't drop and go support e\xe2\x80\xa6"""
107,09-03-2021 23:59,b'RT @NHPNorthernComm: Here\xe2\x80\x99s a look at why US-395 was shut down this morning. We\xe2\x80\x99re expecting more winter weather this week. Please slow dow\xe2\x80\xa6'
108,09-03-2021 23:59,"b""RT @kstargift: \xf0\x9f\x8e\x89Happy Birthday to #GIDLE's #Soojin\nWe wish you all the very best!\n\n\xf0\x9f\x93\x8dKonKuk Univ. station - Transfer Hall\n\nWe also have othe\xe2\x80\xa6"""
109,09-03-2021 23:59,"b""RT @jyjnruto: I'm crying from happiness. Welcome home, haruto. This time, you can hug your mom upon arrival. \n https://t.co/qZfUbKGIwk"""
110,09-03-2021 23:59,b'RT @psyfeed: #JOY: i am not gonna take your shit https://t.co/rPnr3399tE'
111,09-03-2021 23:59,b'RT @selenagomez: Tus labios son mi vicio.\xf0\x9f\x8d\x8a\nYour lips are my vice.\nhttps://t.co/wqrCx3dfDU #Vicio https://t.co/aqjehCARf8'
112,09-03-2021 23:59,b'RT @ECSLeads: \xf0\x9f\x8c\x8eAre you clearly communicating your #values with your #team? #ICYMI-this #theleadinpod #episode!\n\xf0\x9f\x8e\xa7Listen: https://t.co/Prg8Vj\xe2\x80\xa6'
113,09-03-2021 23:59,"b""RT @YouTube: #ROS\xc3\x89 from @BLACKPINK in your area! Don't miss the premiere party for her new music video #OnTheGround on this week's episode\xe2\x80\xa6"""
114,09-03-2021 23:59,"b'RT @civilrightsorg: SENATOR @OSSOFF: Will you commit to using the full power of your office to protect the sacred right to vote, which rema\xe2\x80\xa6'"
115,09-03-2021 23:59,b'RT @TheRonnieW_: Went to Target for a few items...\n\nCashier: Your total is $258.47\n\nMe: https://t.co/klcKCUteO1'
116,09-03-2021 23:59,b'RT @selenagomez: Tus labios son mi vicio.\xf0\x9f\x8d\x8a\nYour lips are my vice.\nhttps://t.co/wqrCx3dfDU #Vicio https://t.co/aqjehCARf8'
117,09-03-2021 23:59,"b'RT @yj4real: When the NDC MPs says they\'ve not seen any 1 District 1 Factory \n\nNana Addo\'s facial expression \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc\xf0\x9f\x98\x82 ""Open your eyes you will s\xe2\x80\xa6'"
118,09-03-2021 23:59,"b'RT @Jeff__Benjamin: What a cool surprise!! I caught my name mentioned in the ""newspaper"" in @SB19Official\'s new ""What?"" music video, wow\n\nT\xe2\x80\xa6'"
119,09-03-2021 23:59,b'RT @NickKnudsenUS: Watch. Every. Second.\n\n@RepTimRyan lighting up the Republicans is your Tuesday treat.  https://t.co/rbjowFFhMn'
120,09-03-2021 23:59,"b""RT @dreamyhyunjin: hey seungmin, you're lying. what is your problem?\nhttps://t.co/UQikQZ0jfh"""
121,09-03-2021 23:59,b'How is the #pandemic affecting your life &amp; around the world?\n\n\xf0\x9f\x8e\xa5 @wef @enricomolinari @labordeolivier\n#PandemicLife\xe2\x80\xa6 https://t.co/aHxIjXkSBq'
122,09-03-2021 23:59,"b""RT @YouTube: #ROS\xc3\x89 from @BLACKPINK in your area! Don't miss the premiere party for her new music video #OnTheGround on this week's episode\xe2\x80\xa6"""
123,09-03-2021 23:59,b'RT @1MAVRlCK: Congratulations @sevi_aumua on your third place finish at state today! Proud moment for an alumni. \n@GVHSActivities @Wrestlin\xe2\x80\xa6'
124,09-03-2021 23:59,"b""RT @YouTube: #ROS\xc3\x89 from @BLACKPINK in your area! Don't miss the premiere party for her new music video #OnTheGround on this week's episode\xe2\x80\xa6"""
125,09-03-2021 23:59,b'RT @pauladulla: Raise your hand if you feel Alex Beresford should take Piers Morgan\xe2\x80\x99s seat on #goodmorningbritain \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #PIERSOUT #GMB #ale\xe2\x80\xa6'
